Linux 3.10.0-693.11.6.el7.x86_64 (blockchainmaster151) 	03/22/2018 	_x86_64_	(32 CPU)

09:28:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:28:18 AM     all      0.09      0.00      0.09      0.00      0.00     99.81
09:28:19 AM     all      0.03      0.00      0.06      0.03      0.00     99.88
09:28:20 AM     all      0.06      0.00      0.09      0.00      0.00     99.84
09:28:21 AM     all      0.03      0.00      0.06      0.00      0.00     99.91
09:28:22 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:23 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:24 AM     all      0.09      0.00      0.09      0.00      0.00     99.81
09:28:25 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:28:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:28:27 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:28:28 AM     all      0.16      0.00      0.03      0.00      0.00     99.81
09:28:29 AM     all      0.03      0.00      0.00      0.00      0.00     99.97
09:28:30 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:28:32 AM     all      0.03      0.00      0.06      0.03      0.00     99.88
09:28:33 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:34 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:35 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
09:28:36 AM     all      0.03      0.00      0.03      0.03      0.00     99.91
09:28:37 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:28:39 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:40 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:41 AM     all      0.03      0.00      0.03      0.00      0.00     99.94
09:28:42 AM     all      0.00      0.00      0.03      0.03      0.00     99.94
09:28:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:28:44 AM     all      0.12      0.00      0.03      0.00      0.00     99.84
09:28:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
